"ProjectID","ProjectDescription","TypeofWork","infra_type","Region","Province","Municipality","LegislativeDistrict","Longitude","Latitude","ABC","ContractCost","FundingYear","CompletionYear"
"P00726168LZ","Construction of Flood Control Structure along Banco River, Barangay Canaan East, Rizal, Nueva Ecija","Construction of Flood Mitigation Structure","Flood Control Structures","Region III","NUEVA ECIJA","RIZAL (NUEVA ECIJA)","NUEVA ECIJA (SECOND LEGISLATIVE DISTRICT)",121.148503,15.695208,4.9e+07,48994904.22,2023,2023
"P00725794LZ","Construction of River Protection Structure along Bay River, Brgy. Tagumpay, Bay, Laguna","Construction of Flood Mitigation Structure","Flood Control Structures","Region IV-A","LAGUNA","BAY (LAGUNA)","LAGUNA (SECOND LEGISLATIVE DISTRICT)",121.2927362,14.1930462,48250000,47042947.37,2023,2024
"P00620488LZ","Construction of Tapao Flood Control Structure, Sta. 166+000 - Sta. 166+200 (L.S.), Balbalasang, Balbalan, Kalinga","Construction of Flood Mitigation Structure","Flood Control Structures","Cordillera Administrative Region","KALINGA","BALBALAN (KALINGA)","KALINGA (LEGISLATIVE DISTRICT)",121.06565,17.48593,14700000,14326756.83,2022,2023
"P00726238LZ","Construction of Flood Control Structure, Cupang (Upstream) Phase 2, Barangay Cupang, Antipolo City","Construction of Flood Mitigation Structure","Flood Control Structures","Region IV-A","RIZAL","CITY OF ANTIPOLO (RIZAL)","ANTIPOLO CITY (SECOND LEGISLATIVE DISTRICT)",121.148508,14.637555,4.9e+07,4.9e+07,2023,2023
"P00620650LZ","Construction of Flood Control and River Bank Protection Structure Along Morong River, Brgy. San Jose and Brgy. San Juan, Morong, Rizal","Construction of Flood Mitigation Structure","Flood Control Structures","Region IV-A","RIZAL","MORONG (RIZAL)","RIZAL (SECOND LEGISLATIVE DISTRICT)",121.230833,14.514722,4.9e+07,4.9e+07,2022,2022
"P00726927LZ","Construction of Flood Control Structure along Puray River, Barangay San Isidro, Rodriguez, Rizal, Phase I","Construction of Flood Mitigation Structure","Flood Control Structures","Region IV-A","RIZAL","MONTALBAN (RIZAL)","RIZAL (FOURTH LEGISLATIVE DISTRICT)",121.1488889,14.74638889,96500000,78557807.92,2023,2024
"P00821073LZ","Construction of Slope Protection Structure along C-6 Open Channel, (Phase 4), Taguig City","Construction of Slope Protection Structure","Flood Control Structures","National Capital Region","TAGUIG CITY","TAGUIG CITY (METROPOLITAN MANILA)","TAGUIG CITY (FIRST LEGISLATIVE DISTRICT)",121.065852441465,14.500131168217,96499443.41,94550154.65,2024,2024
"P00726114LZ","Construction of Nangoluan Flood Control Structure along Sanchez Mira River, Sanchez Mira, Cagayan","Construction of Flood Mitigation Structure","Flood Control Structures","Region II","CAGAYAN","SANCHEZ-MIRA (CAGAYAN)","CAGAYAN (SECOND LEGISLATIVE DISTRICT)",121.230833,18.555277,4.9e+07,4.9e+07,2023,2023
"P00737500LZ","Construction of Drainage Facilities, Barangay Dagatan, Lipa City, Batangas","Construction of Drainage Structure","Flood Control Structures","Region IV-A","BATANGAS","LIPA CITY (BATANGAS)","BATANGAS (SIXTH LEGISLATIVE DISTRICT)",121.18075,13.96546,4950000,4800901.5,2023,2023
"P00620141LZ","Construction of Lower Sakakang Flood Control Structure, Sta. 117+620 - Sta. 118+070 (R.S.), Sta. 117+830 - Sta. 118+180 (L.S.), Bacarri, Paracelis, Mountain Province","Construction of Flood Mitigation Structure","Flood Control Structures","Cordillera Administrative Region","MOUNTAIN PROVINCE","PARACELIS (MOUNTAIN PROVINCE)","MOUNTAIN PROVINCE (LEGISLATIVE DISTRICT)",121.39972,17.25556,81060000,81060000,2022,2023
"P00561544LZ","Construction of Flood Control Structure along Matanag River, San Pablo City, Laguna","Construction of Flood Mitigation Structure","Flood Control Structures","Region IV-A","LAGUNA","","LAGUNA (THIRD LEGISLATIVE DISTRICT)",121.293311,14.036978,29400000,29400000,2021,2022
"P00726438LZ","Construction of Cabicungan Flood Control Structure along Cabicungan River, Nagsabaran, Claveria, Cagayan","Construction of Flood Mitigation Structure","Flood Control Structures","Region II","CAGAYAN","CLAVERIA (CAGAYAN)","CAGAYAN (SECOND LEGISLATIVE DISTRICT)",121.09238,18.55167,83950800,83950800,2023,2024
"P00823445LZ","Construction of Flood Control Structure along Banco River, Barangay Canaan East, Rizal, Nueva Ecija","Construction of Flood Mitigation Structure","Flood Control Structures","Region III","NUEVA ECIJA","RIZAL (NUEVA ECIJA)","NUEVA ECIJA (SECOND LEGISLATIVE DISTRICT)",121.149797,15.696425,48250000,47767448.6,2024,2024
"P00742458LZ","Construction of Malayas River Control, Malabo, Victoria, Oriental Mindoro","Construction of Flood Mitigation Structure","Flood Control Structures","Region IV-B","ORIENTAL MINDORO","VICTORIA (ORIENTAL MINDORO)","ORIENTAL MINDORO (FIRST LEGISLATIVE DISTRICT)",121.2953,13.16528,4950000,4949993.18,2023,2023
"P00620217LZ","Construction of Flood Control Structure, Sitio Binayoyo (Downstream) Phase II, Brgy. Calawis, Antipolo City","Construction of Flood Mitigation Structure","Flood Control Structures","Region IV-A","RIZAL","CITY OF ANTIPOLO (RIZAL)","ANTIPOLO CITY (SECOND LEGISLATIVE DISTRICT)",121.23157,14.65886,55033950,55033758.16,2022,2022
"P00824794LZ","Construction of Flood Mitigation Structure Barangay Malanday, Marikina City","Construction of Flood Mitigation Structure","Flood Control Structures","National Capital Region","MARIKINA CITY","CITY OF MARIKINA (METROPOLITAN MANILA)","CITY OF MARIKINA (FIRST LEGISLATIVE DISTRICT)",121.092397,14.640403,67549147.08,66132277.62,2024,2024
"P00620003LZ","Bank Improvement / Protection Along Pateros River (Phase XIII), Brgy. Ususan, Pateros, Metro Manila","Construction of Slope Protection Structure","Flood Control Structures","National Capital Region","PATEROS","TAGUIG CITY (METROPOLITAN MANILA)","TAGUIG CITY (FIRST LEGISLATIVE DISTRICT)",121.066096,14.535321,72374394.92,68719487.97,2022,2022
"P00726400LZ","Construction of Apayao-Abulug River Basin Flood Control Structure, San Sebastian Section, Sta. 28 + 085 - Sta. 28 + 635 (R/S), Luna, Apayao","Construction of Flood Mitigation Structure","Flood Control Structures","Cordillera Administrative Region","APAYAO","LUNA (APAYAO)","APAYAO (LEGISLATIVE DISTRICT)",121.40174,18.26714,96500000,96493463.88,2023,2024
"P00726253LZ","Construction of Flood Control Structure along Marikina Victoria Valley, Barangay San Isidro, Antipolo City","Construction of Flood Mitigation Structure","Flood Control Structures","Region IV-A","RIZAL","CITY OF ANTIPOLO (RIZAL)","ANTIPOLO CITY (FIRST LEGISLATIVE DISTRICT)",121.181218,14.590232,31360000,31359995,2023,2023
"P00823556LZ","Construction of Flood Mitigation Structures along San Juan River, Tanauan- Santo Tomas, Batangas (Phase 6)","Construction of Flood Mitigation Structure","Flood Control Structures","Region IV-A","BATANGAS","CITY OF SANTO TOMAS (BATANGAS)","BATANGAS (THIRD LEGISLATIVE DISTRICT)",121.149935,14.090774,96500000,96499092.75,2024,2024
"P00820787LZ","Construction of Surong Centro CIS Flood Protection Works Along Tubo River, Kasibu, Nueva Vizcaya","Construction of Flood Mitigation Structure","Flood Control Structures","Region II","NUEVA VIZCAYA","KASIBU (NUEVA VIZCAYA)","NUEVA VIZCAYA (LEGISLATIVE DISTRICT)",121.2966667,16.31916667,37567320,37553841.26,2024,2024
"P00526458LZ","Construction of Bansud River Control, Conrazon Section, Bansud, Oriental Mindoro","Construction of Flood Mitigation Structure","Flood Control Structures","Region IV-B","ORIENTAL MINDORO","","ORIENTAL MINDORO (SECOND LEGISLATIVE DISTRICT)",121.4022222,12.86722222,19599570.67,19599916.63,2021,2022
"P00561443LZ","Construction of Flood Control Structures at Barangay Bagong Silangan, Quezon City","Construction of Flood Mitigation Structure","Flood Control Structures","National Capital Region","QUEZON CITY","","QUEZON CITY (SECOND LEGISLATIVE DISTRICT)",121.066477,14.726026,9.8e+07,94973033,2021,2022
"P00726548LZ","Construction of Flood Control Structures along Lobo River, Nagtaluntong, Lobo, Batangas (Section 2)","Construction of Flood Mitigation Structure","Flood Control Structures","Region IV-A","BATANGAS","LOBO (BATANGAS)","BATANGAS (SECOND LEGISLATIVE DISTRICT)",121.232173,13.660986,96500000,96500000,2023,2023
"P00620627LZ","Construction of Flood Control Structure of Creek/Canal Corville Subdivision, Brgy. San Luis, Antipolo City","Construction of Flood Mitigation Structure","Flood Control Structures","Region IV-A","RIZAL","CITY OF ANTIPOLO (RIZAL)","ANTIPOLO CITY (SECOND LEGISLATIVE DISTRICT)",121.181605,14.59962,9800000,9454403.7,2022,2022
"P00824749LZ","Construction of San Narciso Drainage Structure, Victoria, Oriental Mindoro","Construction of Flood Mitigation Structure","Flood Control Structures","Region IV-B","NORTHERN SAMAR","VICTORIA (NORTHERN SAMAR)","ORIENTAL MINDORO (FIRST LEGISLATIVE DISTRICT)",121.2975,13.191389,3217500,3184912.74,2024,2024
"P00632909LZ","Construction of Flood Control Structure at Angono River, Angono, Rizal","Construction of Flood Mitigation Structure","Flood Control Structures","Region IV-A","RIZAL","ANGONO (RIZAL)","RIZAL (FIRST LEGISLATIVE DISTRICT)",121.150057,14.524139,9900000,9900000,2022,2022
"P00821366LZ","Construction of Pula River Control, Sta. 9+070 - Sta. 9+490, (Upstream - Left Side), Barangay Pambisan Malaki, Pinamalayan, Oriental Mindoro","Construction of Flood Mitigation Structure","Flood Control Structures","Region IV-B","ORIENTAL MINDORO","PINAMALAYAN (ORIENTAL MINDORO)","ORIENTAL MINDORO (SECOND LEGISLATIVE DISTRICT)",121.402222222222,13.0066666666667,67550000,67547027.84,2024,2025
"P00838333LZ","Construction of Slope Protection along Tumana Creek, Brgy. Tumana, Marikina City","Construction of Flood Mitigation Structure","Flood Control Structures","National Capital Region","MARIKINA CITY","CITY OF MARIKINA (METROPOLITAN MANILA)","CITY OF MARIKINA (SECOND LEGISLATIVE DISTRICT)",121.092573,14.653143,96499466.53,94530664.34,2024,2025
"P00561158LZ","Rehabilitation of Drainage, Balayan St., Quezon City","Rehabilitation / Major Repair of Drainage Structure","Flood Control Structures","National Capital Region","QUEZON CITY","","QUEZON CITY (FIRST LEGISLATIVE DISTRICT)",121.066477,14.726026,29399750,28417758,2021,2022
"P00823333LZ","Construction of Sanchez Mira Flood Control Structure along Sanchez Mira River, Sanchez Mira, Cagayan","Construction of Flood Mitigation Structure","Flood Control Structures","Region II","CAGAYAN","SANCHEZ-MIRA (CAGAYAN)","CAGAYAN (SECOND LEGISLATIVE DISTRICT)",121.232369,18.555533,48250000,48248286.07,2024,2024
"P00742400LZ","Construction of Box Culvert in Brgy. Tulos, Rosario, Batangas","Construction of Drainage Structure","Flood Control Structures","Region IV-A","BATANGAS","ROSARIO (BATANGAS)","BATANGAS (FOURTH LEGISLATIVE DISTRICT)",121.29964,13.73507,4950000,4801500,2023,2023
"P00620487LZ","Construction of Mataliling Flood Control Structure, Sta. 181+310 - Sta. 181+410 (L.S.), Upper Uma, Lubuagan, Kalinga","Construction of Flood Mitigation Structure","Flood Control Structures","Cordillera Administrative Region","KALINGA","LUBUAGAN (KALINGA)","KALINGA (LEGISLATIVE DISTRICT)",121.15033,17.35492,4900000,4467751.53,2022,2022
"P00820320LZ","Construction of Flood Mitigation Structure, Mabalanoy Bridge, San Juan, Batangas","Construction of Flood Mitigation Structure","Flood Control Structures","Region IV-A","BATANGAS","SAN JUAN (BATANGAS)","BATANGAS (FOURTH LEGISLATIVE DISTRICT)",121.402273,13.813326,77200000,77200000,2024,2024
"P00631048LZ","Rehabilitation of Flood Control Structure along Regalado Highway, Quezon City","Rehabilitation / Major Repair of Flood Control Structure","Flood Control Structures","National Capital Region","QUEZON CITY","QUEZON CITY (METROPOLITAN MANILA)","QUEZON CITY (FIFTH LEGISLATIVE DISTRICT)",121.066477,14.726026,19600000,19600000,2022,2022
"P00620246LZ","Construction of River Protection Structure near Anos Bridge, (Upstream), Los Baños, Laguna","Construction of Flood Mitigation Structure","Flood Control Structures","Region IV-A","LAGUNA","LOS BAÑOS (LAGUNA)","LAGUNA (SECOND LEGISLATIVE DISTRICT)",121.23273,14.18069,86850000,86847784.09,2022,2022
"P00726228LZ","Construction of Revetment along San Juan River, Barangay Sampiruhan, Calamba City, Laguna","Construction of Revetment","Flood Control Structures","Region IV-A","LAGUNA","CITY OF CALAMBA (LAGUNA)","CITY OF CALAMBA (LEGISLATIVE DISTRICT)",121.1816472,14.22346944,44100000,42953626,2023,2023
"P00737542LZ","Construction of Flood Control Structure along Upper Marikina, Barangay San Isidro, Rodriguez, Rizal","Construction of Flood Mitigation Structure","Flood Control Structures","Region IV-A","RIZAL","MONTALBAN (RIZAL)","RIZAL (FOURTH LEGISLATIVE DISTRICT)",121.1503355,14.73743433,24750000,20056331.71,2023,2024
